Label,Id,timeset,v_name,v_kindom,v_phylum,v_class,v_order,v_family,v_genus,v_species,v_partition,v_group,v_taxa,v_function,v_process,v_frequency,v_niche,v_modularity,v_degree,v_betweenness,v_closeness,closeness_w,norm_closeness_w,Feature_ID,MRA,Nitrifiers,Denitrifiers,Anammox,DNRA,PAOs,GAOs,SRB,SOB,Filamentous,Acetogen,Methanogen,Fermenter,Sugars,Lipids,Proteins,Unassigned
ASV1,n2400,NA,ASV1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,Unknown,below,abundant,core,Denitrifiers/Sugars/Lipids/Proteins,N_remove,0.637437,385.002334,4,11,6972,3.00E-06,970.5841697,0.194466874,feb89dc9caf19ef8293e6bb151ee1866,0.012072538,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ASV10,n221,NA,ASV10,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Agitococcus_lubricus_group,Unknown,below,abundant,core,Unassigned,Unassigned,0.633221,262.880876,9,4,14819,3.00E-06,770.3971431,0.154357272,ff289c73ac6541ac56707936f501a2cd,0.005382746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1000,n3692,NA,ASV1000,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,Unknown,neutral,intermediate,others,SOB/Filamentous/Sugars/Lipids/Proteins,S_remove,0.086003,59.68091,5,2,6,3.00E-06,845.5329644,0.169411534,53f4fa5086ba14d2076e3f0a6345c832,0.000168481,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0
ASV1001,n52,NA,ASV1001,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_2505,midas_g_2505,midas_s_74160,above,intermediate,others,Unassigned,Unassigned,0.114671,49.125661,9,42,35988,3.00E-06,1193.944655,0.239219526,d494d8d8e6cfdeb5f91cbd08b5627126,0.000179668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1002,n1754,NA,ASV1002,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,midas_s_362,above,intermediate,others,Fermenter/Sugars,C_cycle,0.116358,53.46111,2,6,5685,3.00E-06,903.2835665,0.180982482,5f9981020f592f84640f67071b0b9462,0.000147637,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ASV1003,n1883,NA,ASV1003,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Halieaceae,Halioglobus,midas_s_4786,neutral,intermediate,others,Denitrifiers/Sugars,N_remove,0.076728,40.483139,8,142,11248,3.00E-06,1300.113985,0.260491682,7437cd20a064cce555c460bad3f7dc90,0.000173994,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV1004,n3479,NA,ASV1004,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,midas_g_1061,Unknown,above,intermediate,others,Unassigned,Unassigned,0.133221,59.392548,7,11,779,3.00E-06,988.6502684,0.19808661,539f5c14927121941cc514524cd22f13,0.000180915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1005,n3216,NA,ASV1005,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,midas_s_51991,above,intermediate,others,Unassigned,Unassigned,0.272344,208.561528,9,50,71193,3.00E-06,1224.308494,0.245303245,30a6a92075493b1b07c4e06b75180cbb,0.000179708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1006,n2140,NA,ASV1006,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,midas_s_10430,below,intermediate,others,Unassigned,Unassigned,0.022766,12.543084,7,98,6386,3.00E-06,1238.678597,0.248182448,284d359f3ba625a7b80a9671e9d59000,0.000179466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1007,n3019,NA,ASV1007,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,midas_s_8641,above,intermediate,others,Sugars,C_cycle,0.110455,71.191865,5,24,12415,3.00E-06,1083.876075,0.217166114,19bf0c1b9f4d2805e5df22736695b103,0.000168441,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASV1008,n1229,NA,ASV1008,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,midas_g_843,Unknown,neutral,intermediate,others,Unassigned,Unassigned,0.078415,46.277689,5,10,1388,3.00E-06,1015.584698,0.203483209,d0d0714792ef3b5a6951ca3d28020d4c,0.000154558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1009,n1095,NA,ASV1009,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,midas_g_1341,midas_s_3710,above,intermediate,others,Unassigned,Unassigned,0.141653,75.028723,1,3,0,3.00E-06,768.2412832,0.153925322,da22ffc93f7286f6c36e4b52dd709cf9,0.000158985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1012,n2174,NA,ASV1012,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_6,midas_s_10761,below,intermediate,others,Unassigned,Unassigned,0.031197,7.845403,4,4,0,3.00E-06,907.6407774,0.181855495,f7bce1dacdbcf9aef35e0416ff2c6280,0.000163532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1015,n497,NA,ASV1015,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,midas_g_4871,Unknown,above,intermediate,others,Unassigned,Unassigned,0.163575,81.604831,4,8,2533,3.00E-06,974.60752,0.195272995,20ba6e6c7db075c1cd24444e96e11747,0.000151661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ASV1017,n3650,NA,ASV1017,Bacteria,Planctomycetota,BD7-11,midas_o_17905,midas_f_17905,midas_g_17905,midas_s_17905,above,intermediate,others,Unassigned,Unassigned,0.420742,272.322587,9,7,12799,3.00E-06,997.4833671,0.199856415,9c6d8f255438e70bf06dad2f1755fcb1,0.00016663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
