Source,Target,Type,Id,Label,timeset,Weight,e_correlation,e_relation
n0,n612,Undirected,0,,,0.505548,0.505548,Pos
n0,n2179,Undirected,1,,,0.460043,0.460043,Pos
n0,n3062,Undirected,2,,,0.440307,0.440307,Pos
n0,n3892,Undirected,3,,,0.456455,0.456455,Pos
n0,n4015,Undirected,4,,,0.480463,0.480463,Pos
n0,n4330,Undirected,5,,,0.457399,0.457399,Pos
n1,n1366,Undirected,6,,,0.450125,0.450125,Pos
n1,n2273,Undirected,7,,,0.478509,0.478509,Pos
n2,n35,Undirected,8,,,0.552587,0.552587,Pos
n2,n174,Undirected,9,,,0.609915,0.609915,Pos
n2,n181,Undirected,10,,,0.450894,0.450894,Pos
n2,n255,Undirected,11,,,0.522577,0.522577,Pos
n2,n337,Undirected,12,,,0.633378,0.633378,Pos
n2,n377,Undirected,13,,,0.575202,0.575202,Pos
n2,n544,Undirected,14,,,0.614555,0.614555,Pos
n2,n570,Undirected,15,,,0.58463,0.58463,Pos
n2,n743,Undirected,16,,,0.598403,0.598403,Pos
n2,n796,Undirected,17,,,0.528754,0.528754,Pos
n2,n890,Undirected,18,,,0.474417,0.474417,Pos
n2,n910,Undirected,19,,,0.536298,0.536298,Pos
n2,n982,Undirected,20,,,0.525842,0.525842,Pos
n2,n1044,Undirected,21,,,0.466635,0.466635,Pos
n2,n1045,Undirected,22,,,0.477581,0.477581,Pos
n2,n1088,Undirected,23,,,0.794155,0.794155,Pos
n2,n1110,Undirected,24,,,0.697681,0.697681,Pos
n2,n1126,Undirected,25,,,0.504692,0.504692,Pos
n2,n1209,Undirected,26,,,0.48502,0.48502,Pos
n2,n1236,Undirected,27,,,0.472867,0.472867,Pos
n2,n1287,Undirected,28,,,0.530579,0.530579,Pos
n2,n1528,Undirected,29,,,0.768723,0.768723,Pos
n2,n1576,Undirected,30,,,0.462036,0.462036,Pos
n2,n1606,Undirected,31,,,0.520926,0.520926,Pos
n2,n1649,Undirected,32,,,0.441607,0.441607,Pos
n2,n1716,Undirected,33,,,0.514207,0.514207,Pos
n2,n1798,Undirected,34,,,0.578341,0.578341,Pos
n2,n2298,Undirected,35,,,0.563787,0.563787,Pos
n2,n2383,Undirected,36,,,0.513183,0.513183,Pos
n2,n2408,Undirected,37,,,0.502112,0.502112,Pos
n2,n2506,Undirected,38,,,0.482285,0.482285,Pos
n2,n2540,Undirected,39,,,0.445304,0.445304,Pos
n2,n2590,Undirected,40,,,0.467114,0.467114,Pos
n2,n2716,Undirected,41,,,0.465632,0.465632,Pos
n2,n2740,Undirected,42,,,0.476857,0.476857,Pos
n2,n2818,Undirected,43,,,0.446723,0.446723,Pos
n2,n2875,Undirected,44,,,0.578721,0.578721,Pos
n2,n2902,Undirected,45,,,0.607892,0.607892,Pos
n2,n2907,Undirected,46,,,0.440586,0.440586,Pos
n2,n2985,Undirected,47,,,0.550191,0.550191,Pos
n2,n3080,Undirected,48,,,0.503321,0.503321,Pos
n2,n3129,Undirected,49,,,0.513794,0.513794,Pos
n2,n3160,Undirected,50,,,0.580483,0.580483,Pos
n2,n3338,Undirected,51,,,0.709196,0.709196,Pos
n2,n3388,Undirected,52,,,0.534965,0.534965,Pos
n2,n3416,Undirected,53,,,0.561097,0.561097,Pos
n2,n3490,Undirected,54,,,0.779763,0.779763,Pos
n2,n3525,Undirected,55,,,0.450296,0.450296,Pos
n2,n3567,Undirected,56,,,0.487442,0.487442,Pos
n2,n3584,Undirected,57,,,0.633573,0.633573,Pos
n2,n3631,Undirected,58,,,0.637714,0.637714,Pos
n2,n3681,Undirected,59,,,0.493357,0.493357,Pos
n2,n3782,Undirected,60,,,0.540593,0.540593,Pos
n2,n3788,Undirected,61,,,0.565075,0.565075,Pos
n2,n3811,Undirected,62,,,0.603427,0.603427,Pos
n2,n3872,Undirected,63,,,0.471345,0.471345,Pos
n2,n3956,Undirected,64,,,0.528924,0.528924,Pos
n2,n3993,Undirected,65,,,0.514479,0.514479,Pos
n2,n4226,Undirected,66,,,0.663635,0.663635,Pos
