,Lat,Lon,BY,MAT,AMMaxT,AMMinT,MMT,SMT,AP,SMP,GDP,Pop,DC,InfR,Vol,HRT,AtHRT,SRT,Nitri,Denitri,InfBOD,ReInfBOD,AtInfBOD,InfCOD,ReInfCOD,AtInfCOD,F.M,InfNH4N,AtInfNH4N,InfTN,AtInfTN,InfTP,AtInfTP,IndConInf,IndPer,MLSS,DO,Ph,MIT,Con,NH4N,NO3N,SVI
ATLA1A,84.65747313,53.1091583,80.3960396,45,45.20295203,48.90322581,19.33333333,100,22.34758621,11.22727273,53.84142539,13.45334015,1.039142407,1.03494424,1.25361371,26.27659574,21.16231786,22.54386945,100,100,7.727543003,65.67735471,36.1878453,12.67321729,49.86538462,69.09101382,6.210526316,32.13709677,27.44714286,27.87813135,38.125,13.65753425,21.91549296,1,1,32.38442185,4.141137856,49.68852459,23.21653543,8.904347826,10.26808511,61.70754717,70.95324629
ATLA1B,84.65747313,53.1091583,80.3960396,45,45.20295203,48.90322581,19.33333333,100,22.34758621,11.22727273,53.84142539,13.45334015,1.039142407,1.03494424,1.25361371,26.27659574,21.16231786,22.54386945,100,100,7.727543003,65.67735471,36.1878453,12.67321729,49.86538462,69.09101382,6.210526316,32.13709677,27.44714286,27.87813135,38.125,13.65753425,21.91549296,1,1,32.38442185,4.141137856,49.68852459,23.21653543,8.904347826,10.26808511,61.70754717,70.95324629
ATLA1C,84.65747313,53.1091583,80.3960396,45,45.20295203,48.90322581,19.33333333,100,22.34758621,11.22727273,53.84142539,13.45334015,1.039142407,1.03494424,1.25361371,26.27659574,21.16231786,22.54386945,100,100,7.727543003,65.67735471,36.1878453,12.67321729,49.86538462,69.09101382,6.210526316,32.13709677,27.44714286,27.87813135,38.125,13.65753425,21.91549296,1,1,32.38442185,1.433260394,49.68852459,23.21653543,8.904347826,10.26808511,61.70754717,70.95324629
ATLA2A,84.6503549,53.32480433,83.33663366,45,45.20295203,48.90322581,78,100,19.98068966,11.02272727,53.84142539,13.45334015,1.675533442,1.425045037,1.369319516,26.27659574,21.16231786,6.720688499,100,100,9.514546613,65.67735471,34.74447514,31.57271196,49.86538462,69.09101382,6.210526316,30.19815668,79.35142857,65.74881517,38.125,44.84931507,21.91549296,100,37.3,24.02977251,13.07713348,42.16393443,27.89370079,8.840316206,2.053191489,51.74528302,66.62155963
ATLA2B,84.6503549,53.32480433,83.33663366,45,45.20295203,48.90322581,78,100,19.98068966,11.02272727,53.84142539,13.45334015,1.675533442,1.425045037,1.369319516,26.27659574,21.16231786,6.720688499,100,100,9.514546613,65.67735471,34.74447514,31.57271196,49.86538462,69.09101382,6.210526316,30.19815668,79.35142857,65.74881517,38.125,44.84931507,21.91549296,100,37.3,24.02977251,13.07713348,42.16393443,27.89370079,8.840316206,2.053191489,51.74528302,66.62155963
ATLA2C,84.6503549,53.32480433,83.33663366,45,45.20295203,48.90322581,78,100,19.98068966,11.02272727,53.84142539,13.45334015,1.675533442,1.425045037,1.369319516,26.27659574,21.16231786,6.720688499,100,100,9.514546613,65.67735471,34.74447514,31.57271196,49.86538462,69.09101382,6.210526316,30.19815668,79.35142857,65.74881517,38.125,44.84931507,21.91549296,100,37.3,24.02977251,13.07713348,42.16393443,27.89370079,8.840316206,2.053191489,51.74528302,66.62155963
ATLA3A,84.94594403,53.24600655,80.3960396,45,45.20295203,48.90322581,19.33333333,100,19.43448276,10.61363636,53.84142539,13.45334015,1.174266531,1.109118336,2.893617735,26.27659574,21.16231786,22.54386945,100,100,7.727543003,65.67735471,36.1878453,12.67321729,49.86538462,69.09101382,6.210526316,32.13709677,27.44714286,27.87813135,38.125,13.65753425,21.91549296,1,1,32.38442185,5.007658643,40.54098361,35.2992126,8.904347826,4.791489362,1,80.47247706
ATLA3B,84.94594403,53.24600655,80.3960396,45,45.20295203,48.90322581,19.33333333,100,19.43448276,10.61363636,53.84142539,13.45334015,1.174266531,1.109118336,2.893617735,26.27659574,21.16231786,22.54386945,100,100,7.727543003,65.67735471,36.1878453,12.67321729,49.86538462,69.09101382,6.210526316,32.13709677,27.44714286,27.87813135,38.125,13.65753425,21.91549296,1,1,32.38442185,5.170131291,40.54098361,35.2992126,8.904347826,4.791489362,1,80.47247706
ATLA3C,84.94594403,53.24600655,80.3960396,45,45.20295203,48.90322581,19.33333333,100,19.43448276,10.61363636,53.84142539,13.45334015,1.174266531,1.109118336,2.893617735,26.27659574,21.16231786,22.54386945,100,100,7.727543003,65.67735471,36.1878453,12.67321729,49.86538462,69.09101382,6.210526316,32.13709677,27.44714286,27.87813135,38.125,13.65753425,21.91549296,1,1,32.38442185,5.22428884,40.54098361,35.2992126,8.904347826,4.791489362,1,80.47247706
ATLA4A,84.88835936,53.18086068,97.05940594,45,45.20295203,48.90322581,19.33333333,100,19.38896552,10.61363636,53.84142539,13.45334015,1.342081975,1.260213715,1.369319516,26.27659574,21.16231786,6.720688499,100,100,7.727543003,65.67735471,33.83287293,31.57271196,49.86538462,69.09101382,6.210526316,30.19815668,27.44714286,65.74881517,38.125,44.84931507,21.91549296,1,1,32.38442185,1.487417943,43.93442623,29.45275591,8.904347826,4.791489362,1,80.47247706
ATLA4B,84.88835936,53.18086068,97.05940594,45,45.20295203,48.90322581,19.33333333,100,19.38896552,10.61363636,53.84142539,13.45334015,1.342081975,1.260213715,1.369319516,26.27659574,21.16231786,6.720688499,100,100,7.727543003,65.67735471,33.83287293,31.57271196,49.86538462,69.09101382,6.210526316,30.19815668,27.44714286,65.74881517,38.125,44.84931507,21.91549296,1,1,32.38442185,1.487417943,43.93442623,29.45275591,8.904347826,4.791489362,1,80.47247706
ATLA4C,84.88835936,53.18086068,97.05940594,45,45.20295203,48.90322581,19.33333333,100,19.38896552,10.61363636,53.84142539,13.45334015,1.342081975,1.260213715,1.369319516,26.27659574,21.16231786,6.720688499,100,100,7.727543003,65.67735471,34.74447514,31.57271196,49.86538462,69.09101382,6.210526316,30.19815668,27.44714286,65.74881517,38.125,44.84931507,21.91549296,1,1,32.38442185,1.487417943,43.93442623,29.45275591,8.904347826,4.791489362,1,80.47247706
